S-10B
S-20D Kaldi 8 [0.3888888888888889] S:4, I:0, D:3
S-20D Google 9 [0.4868421052631579] S:21, I:2, D:11
S-20D Kaldi 9 [0.5526315789473685] S:22, I:8, D:9
S-20D Google 10 [0.5204081632653061] S:31, I:0, D:20
S-20D Kaldi 10 [0.45918367346938777] S:34, I:4, D:7
S-20D Google 11 [0.5217391304347826] S:25, I:1, D:9
S-20D Kaldi 11 [0.42028985507246375] S:20, I:4, D:4
S-29A
S-29A Google 0 [0.30416666666666664] S:29, I:1, D:42
S-29A Kaldi 0 [0.15833333333333333] S:23, I:2, D:13
S-29A Google 1 [0.2992957746478873] S:24, I:1, D:58
S-29A Kaldi 1 [0.2112676056338028] S:32, I:3, D:23
S-29A Google 2 [0.40484429065743943] S:19, I:0, D:97
S-29A Kaldi 2 [0.1695501730103806] S:21, I:0, D:28
S-29A Google 3 [0.3141025641025641] S:33, I:0, D:63
S-29A Kaldi 3 [0.17307692307692307] S:27, I:1, D:26
S-29A Google 4 [0.3229571984435798] S:40, I:6, D:120
S-29A Kaldi 4 [0.17898832684824903] S:40, I:12, D:39
S-29A Google 5 [0.2696629213483146] S:23, I:2, D:45
S-29A Kaldi 5 [0.14606741573033707] S:16, I:3, D:19
S-29A Google 6 [0.3333333333333333] S:0, I:0, D:9
S-29A Kaldi 6 [0.21212121212121213] S:3, I:0, D:4
S-29A Google 7 [0.2839506172839506] S:8, I:0, D:15
S-29A Kaldi 7 [0.24691358024691357] S:14, I:1, D:5
S-29A Google 8 [0.19718309859154928] S:4, I:0, D:8
S-29A Kaldi 8 [0.16901408450704225] S:7, I:3, D:2
S-29A Google 9 [0.5263157894736842] S:9, I:0, D:9
S-29A Kaldi 9 [0.21052631578947367] S:3, I:0, D:3
S-29A Google 10 [0.3333333333333333] S:7, I:1, D:11
S-29A Kaldi 10 [0.19696969696969696] S:7, I:0, D:6
S-29A Google 11 [0.2708333333333333] S:2, I:0, D:8
S-29A Kaldi 11 [0.3541666666666667] S:8, I:0, D:7
S-14B
S-14B Google 0 [0.43823529411764706] S:64, I:1, D:80
S-14B Kaldi 0 [0.3088235294117647] S:61, I:12, D:31
S-14B Google 1 [0.4383954154727794] S:66, I:1, D:83
S-14B Kaldi 1 [0.31805157593123207] S:57, I:6, D:48
S-14B Google 2 [0.4024767801857585] S:66, I:3, D:61
S-14B Kaldi 2 [0.28792569659442724] S:58, I:6, D:29
S-14B Google 3 [0.5683453237410072] S:39, I:0, D:37
S-14B Kaldi 3 [0.43884892086330934] S:43, I:4, D:14
S-14B Google 4 [0.4528301886792453] S:63, I:2, D:78
S-14B Kaldi 4 [0.29874213836477986] S:56, I:9, D:29
S-14B Google 5 [0.351931330472103] S:73, I:5, D:80
S-14B Kaldi 5 [0.22532188841201717] S:64, I:7, D:33
S-14B Google 6 [0.4393939393939394] S:7, I:0, D:20
S-14B Kaldi 6 [0.2727272727272727] S:12, I:0, D:6
S-14B Google 7 [0.32222222222222224] S:5, I:1, D:19
S-14B Kaldi 7 [0.35555555555555557] S:20, I:3, D:8
S-14B Google 8 [0.3793103448275862] S:2, I:0, D:7
S-14B Kaldi 8 [0.27586206896551724] S:3, I:0, D:5
S-32D
S-32D Google 0 [0.532] S:50, I:8, D:73
S-32D Kaldi 0 [0.428] S:50, I:23, D:34
S-32D Google 1 [0.4057507987220447] S:38, I:0, D:87
S-32D Kaldi 1 [0.2523961661341853] S:40, I:3, D:35
S-32D Google 2 [0.5059288537549407] S:44, I:0, D:78
S-32D Kaldi 2 [0.40711462450592883] S:55, I:7, D:41
S-32D Google 3 [0.44014084507042256] S:27, I:0, D:97
S-32D Kaldi 3 [0.20774647887323944] S:30, I:2, D:27
S-32D Google 4 [0.5898305084745763] S:31, I:1, D:140
S-32D Kaldi 4 [0.28135593220338984] S:38, I:4, D:41
S-32D Google 5 [0.39823008849557523] S:28, I:0, D:60
S-32D Kaldi 5 [0.23893805309734514] S:35, I:1, D:18
S-32D Google 6 [0.6266666666666667] S:11, I:0, D:35
S-32D Kaldi 6 [0.36] S:8, I:0, D:19
S-32D Google 7 [0.5094339622641509] S:17, I:0, D:27
S-32D Kaldi 7 [0.3018867924528302] S:11, I:0, D:17
S-32D Google 8 [0.5] S:5, I:0, D:6
S-32D Kaldi 8 [0.3] S:6, I:0, D:3
S-32D Google 9 [0.3950617283950617] S:27, I:1, D:26
S-32D Kaldi 9 [0.3148148148148148] S:31, I:1, D:19
S-32D Google 10 [0.9230769230769231] S:4, I:0, D:0
S-32D Kaldi 10 [0.46153846153846156] S:4, I:1, D:1
S-32D Google 11 [0.5] S:13, I:3, D:8
S-32D Kaldi 11 [0.25] S:4, I:6, D:4
S-22B
S-22B Google 0 [0.4474885844748858] S:34, I:2, D:60
S-22B Kaldi 0 [0.2557077625570776] S:36, I:4, D:16
S-22B Google 1 [0.3448275862068966] S:30, I:2, D:45
S-22B Kaldi 1 [0.21551724137931033] S:38, I:5, D:7
S-22B Google 2 [0.3775862068965517] S:102, I:5, D:112
S-22B Kaldi 2 [0.21724137931034482] S:84, I:12, D:29
S-22B Google 3 [0.37751004016064255] S:30, I:0, D:63
S-22B Kaldi 3 [0.18473895582329317] S:26, I:5, D:15
